Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
ROKU,40.88,Put,39.00,01/11/19,3,0.59,0.68,0.76,0.70,1600,418,3.83,100.69%,01/08/19
T,31.28,Call,28.00,01/25/19,17,3.20,3.28,3.35,3.25,1120,294,3.81,3.31%,01/08/19
T,31.28,Call,30.00,01/11/19,3,1.23,1.29,1.35,1.33,10205,2678,3.81,35.14%,01/08/19
SBUX,63.62,Put,60.00,03/15/19,66,1.33,1.37,1.40,1.39,10452,2753,3.8,28.26%,01/08/19
BK,47.62,Call,55.00,06/21/19,164,0.70,0.83,0.95,0.74,2122,560,3.79,21.66%,01/08/19
VZ,58.38,Put,56.00,01/18/19,10,0.25,0.28,0.31,0.29,1569,416,3.77,29.25%,01/08/19
T,31.28,Call,28.50,01/25/19,17,2.73,2.78,2.82,2.81,1354,362,3.74,12.42%,01/08/19
FB,142.53,Call,147.00,01/11/19,3,0.48,0.51,0.54,0.53,4242,1134,3.74,38.55%,01/08/19
TWTR,31.8,Put,31.00,01/11/19,3,0.28,0.3,0.31,0.30,1327,356,3.73,54.80%,01/08/19
T,31.28,Call,28.50,01/11/19,3,2.73,2.77,2.81,2.61,6151,1647,3.73,0.00%,01/08/19
AMZN,1656.58,Put,1575.00,01/11/19,3,2.69,3.97,5.25,4.05,1136,305,3.72,47.41%,01/08/19
VZ,58.38,Call,55.50,01/11/19,3,2.73,2.89,3.05,2.84,2301,618,3.72,0.00%,01/08/19
SQ,63.12,Call,63.50,01/11/19,3,1.23,1.26,1.28,1.25,1340,361,3.71,62.24%,01/08/19
PYPL,88.7,Call,88.00,01/11/19,3,1.47,1.5,1.53,1.43,2178,587,3.71,32.21%,01/08/19
T,31.28,Call,92.50,01/18/19,10,6.00,6.18,6.35,6.00,5500,1485,3.7,0.00%,01/08/19
GES,22.62,Put,20.00,01/18/19,10,0.10,0.13,0.15,0.15,506,137,3.69,66.18%,01/08/19
BABA,146.79,Put,144.00,01/11/19,3,1.15,1.19,1.23,1.20,1100,298,3.69,44.64%,01/08/19
WFC,47.54,Put,42.00,01/18/19,10,0.09,0.1,0.11,0.11,630,171,3.68,50.36%,01/08/19
