Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
AMZN,1629.51,Put,1560.00,01/11/19,4,7.85,8.28,8.70,7.86,693,151,4.59,46.73%,01/07/19
IP,42.77,Put,40.00,07/19/19,193,2.36,2.42,2.48,2.35,1309,286,4.58,32.06%,01/07/19
TSLA,334.96,Call,355.00,01/11/19,4,1.65,1.74,1.83,1.67,1566,343,4.57,55.32%,01/07/19
LVS,55.47,Put,45.00,02/15/19,39,0.41,0.47,0.53,0.42,2164,474,4.57,51.72%,01/07/19
SLB,40.17,Put,37.50,05/17/19,130,2.14,2.19,2.24,2.17,5026,1102,4.56,38.05%,01/07/19
AAPL,147.93,Put,147.00,01/11/19,4,1.84,1.9,1.95,1.90,12075,2671,4.52,38.28%,01/07/19
BMRN,90.19,Call,95.00,01/18/19,11,1.35,1.6,1.85,1.40,1317,294,4.48,50.37%,01/07/19
TSLA,334.96,Put,320.00,01/11/19,4,2.69,2.78,2.86,2.82,4042,902,4.48,60.40%,01/07/19
AAPL,147.93,Put,149.00,01/11/19,4,2.70,2.8,2.89,2.88,2529,567,4.46,37.65%,01/07/19
AMZN,1629.51,Call,1620.00,01/11/19,4,34.50,35.2,35.90,35.07,2652,595,4.46,43.90%,01/07/19
CTL,16.3,Call,16.50,01/18/19,11,0.33,0.37,0.41,0.41,1242,279,4.45,43.80%,01/07/19
NVDA,143.4,Call,141.00,01/11/19,4,5.15,5.3,5.45,5.41,1407,319,4.41,68.57%,01/07/19
KMI,16.59,Call,18.00,02/15/19,39,0.10,0.11,0.11,0.10,1341,305,4.4,23.04%,01/07/19
MAT,11.21,Call,10.50,01/11/19,4,0.75,0.85,0.95,0.85,1320,301,4.39,87.20%,01/07/19
AVGO,237.98,Call,245.00,01/18/19,11,2.90,3.05,3.20,3.50,684,156,4.38,37.86%,01/07/19
